,Text
1258,"A year ago, she made history as the youngest Indian to win a professional title by securing the doubles at the Hyderabad Open."
1259,"Jonathan Edwards, the world outdoor triple jump record holder and BBC pundit, is confident that Phillips Idowu has the potential to win gold at the European Indoor Championships."
1260,"Five years ago, Idowu had his breakthrough, but he has only a Commonwealth silver medal to his name so far."
1261,The Scottish Football Association is waiting for referee Hugh Dallas's report before taking action against Hearts winger Saulius Mikoliunas.
1262,"Reports are typically received a few days after the game, but we are already well informed about what occurred."
1263,"Eddie O'Sullivan, the coach of Ireland, praised Italy after his team struggled to a 28-17 victory in Rome."
1264,"During Celtic's busy festive schedule, Martin O'Neill is hoping to prevent Stilian Petrov from being called up by Bulgaria."
1265,The International Association of Athletics Federations plans to challenge the exoneration of Greek athletes Kostas Kenteris and Katerina Thanou.
1266,"Segas chairman Vassilis Sevastis stated that the IAAF appeal was ""anticipated"" and ""reasonable."""
1267,It is time for the world to uncover the truth as we possess the evidence.
1268,"Hong Kong is seeking to co-host the 2011 Rugby World Cup with Japan, who has applied to host the tournament independently."
1269,"""Up to this point, the World Cup has been hosted by countries from the Six Nations or Tri-Nations,"" Tokumasu stated."
1270,Graeme Souness thinks that Walter Smith would be the perfect candidate to replace Berti Vogts as Scotland manager.
1271,"Should he decide to assume control, it appears highly likely that Smith's trusted associate Archie Knox would also be involved in the national team setup."
1272,"Keith Wood, a former captain, is confident that Ireland can secure their second Grand Slam, the first one being in 1948, in this year's RBS Six Nations Championship."
1273,"Even though flanker Keith Gleeson is absent, coach Eddie O'Sullivan has not faced the extensive injury concerns that have affected England and Scotland before the tournament."
1274,Newcastle United of the Premiership will be facing a trip to Ryman Premier League leaders Yeading in the FA Cup third round.
1275,Premiership teams will be facing challenging away games against Championship sides on the weekend of 8/9 January.
1276,"Middlesbrough will face Swindon/Notts Co, while Exeter will take on Man Utd."
1277,Plymouth will face Everton and Leicester will take on Blackpool.
1278,Derby will face Wigan and Sunderland will play against Crystal Palace.
1279,The Wolves will be playing against Millwall and Yeading will be facing Newcastle.
1280,Hull against Colchester and Tottenham against Brighton.
1281,"Birmingham will play against Leeds, while Reading will face Stockport/Swansea."
1282,Hartlepool will face Boston and Milton Keynes Dons will play against Peterborough.
1283,Oldham is playing against Manchester City and Chelsea is playing against Scunthorpe.
1284,Cardiff will be playing against Blackburn and Charlton will be facing Rochdale.
1285,West Ham will face Norwich and Sheff Utd will play against Aston Villa.
1286,The match between Preston and West Brom will be followed by Rotherham against Yeovil.
1287,Liverpool will be playing against Burnley and Chester will be facing Bournemouth.
1288,Coventry will be facing Crewe and Watford will be playing against Fulham.
1289,The matches are Ipswich v Bolton and Portsmouth v Gillingham.
1290,Northampton will face Southampton and QPR will play against Nottm Forest.
1291,The matches between Luton and Hinckley/Brentford are scheduled for the weekend of January 8th and 9th.
1292,"Ruud van Nistelrooy, the Manchester United striker, might return from an Achilles tendon injury in the FA Cup fifth round match against Everton on Saturday."
1293,Mark Lewis-Francis is determined to win World Championship 100m gold in 2005 after his Olympic success.
1294,"Kalusha Bwalya, Zambia's technical director, is feeling confident and cautious as the Cosafa Cup final against Angola approaches in Lusaka on Saturday."
1295,The Football Association has decided not to take any action against Chelsea boss Jose Mourinho following his sending-off in Sunday's Carling Cup final.
1296,Uefa may consider taking disciplinary action due to Mourinho's absence from a mandatory post-match press conference following Chelsea's Champions League loss to Barcelona last week.
1297,"Edu, the Brazilian midfielder for Arsenal, criticized the club for delaying in offering him a new contract."
1298,A meeting is scheduled for 6 or 7 January to resolve the matter with Arsenal.
1299,"Rafael Benitez, the manager of Liverpool, has declined to blame goalkeeper Jerzy Dudek for Portsmouth's draw at Anfield, despite Dudek fumbling a cross that led to an injury-time equalizer."
1300,Ireland defeated England for the third consecutive time in the Six Nations with an impressive win at Lansdowne Road.
1301,"England took their time to settle, but their initial foray into Ireland's half resulted in a straightforward score for Corry."
1302,"However, the lead was short-lived."
1303,"F Sheahan, M Horan, D O'Callaghan, E Miller, G Easterby, D Humphreys, K Maggs. J Robinson (capt); M Cueto, J Noon, O Barkley, J Lewsey; C Hodgson, H Ellis; G Rowntree, S Thompson, M Stevens; D Grewcock, B Kay; J Worsley, L Moody, M Corry are the players listed for the team."
1304,"Titterrell, Bell, Borthwick, Hazell, Dawson, Goode, and Smith are the names listed."
1305,Jesper Gronkjaer has agreed to transfer from Birmingham City to Atletico Madrid.
1306,"Since the summer, he has faced challenges due to the loss of his mother and struggling to adapt to a new club and unfamiliar surroundings."
1307,Lleyton Hewitt was unexpectedly defeated by Taylor Dent in the quarter-finals of the Australian Hardcourt Championships in Adelaide on Friday.
1308,"David Campese, a former Australian wing, has advised England to refrain from complaining following their loss to Ireland."
1309,"England is considering lodging a complaint with the International Rugby Board after potential ""tries"" by Cueto in the first half and Lewsey late on were disallowed without the use of the video referee."
1310,"Campese, with 101 international caps under his belt, stated that full-back Jason Robinson would be the only Englishman in his World XV."
1311,"Nicolas Almagro, an unseeded player, became the fifth Spaniard to advance to the quarterfinals at the Buenos Aires Open by defeating eighth seed Mariano Zabaleta."
1312,"Arsene Wenger, the manager of Arsenal, has been assured of receiving transfer funds to strengthen his squad in the summer."
1313,Edelman emphasized that having a brand new stadium would be meaningless if the team did not complement the surroundings.
1314,"Arjen Robben, the Chelsea winger, has suffered two broken metatarsal bones in his foot and will be sidelined for a minimum of six weeks."
1315,"In the lead-up to the 2002 World Cup in Korea and Japan, David Beckham endured a fractured metatarsal."
1316,Thomas Castaignede has cautioned that coach Bernard Laporte is under increasing pressure after France's loss to Wales.
1317,Castaignede mentioned that none of those results have alleviated the pressure on Laporte.
1318,"After marathon runner Susan Chepkemei issued an official apology, Kenya's athletics organization lifted the ban imposed on her."
1319,The Kenyan coaching team is currently deliberating on whether to include Chepkemei in the team for this month's world cross country championships.
1320,"On Tuesday, 1 March at Griffin Park."
1321,Barry Knight (Kent) at 1945 GMT.
1322,"In the quarter-finals, Manchester United will be playing at home."
1323,Brentford manager Martin Allen expressed his lack of confidence after conceding eight goals in the last three matches.
1324,"BRENTFORD, the FA Cup's lowest ranked club, are currently enjoying their best run in the competition since reaching the quarter-finals 16 years ago for the fourth time in their history."
1325,The Londoners have let in six goals in their last two League matches - three in each game as they lost to Hartlepool away and drew with Sheffield Wednesday at home.
1326,"A victory here would lead to a rematch of the 1976 final, where Saints surprised the football world by defeating Tommy Docherty's Manchester United with Bobby Stokes' famous winning goal."
1327,The quarter-finals of the 10th League One will be played four times.
1328,"Once, the winners of the 18th Premier League."
1329,"Philippe Sella, a former France center, believes that coach Bernard Laporte must bring back Frederic Michalak in order to have any chance of beating Ireland."
1330,"However, Sella maintained that the pressure on Laporte had eased, despite the defeat at the Stade de France, with their only errors being not scoring enough points in the first half and being slightly less focused in the second... but only slightly."
1331,Southampton will introduce Harry Redknapp as their new manager at a news conference scheduled for 1500 GMT on Wednesday.
1332,"Negotiations over this matter seem to have been ongoing for quite some time, Mandaric mentioned on Portsmouth's official website."
1333,Hearts manager John Robertson is optimistic that advancing to the knock-out stages of the Uefa Cup could persuade some of his out-of-contract players to remain at the club.
1334,"""The condition of the pitch is not the best,"" he said."
1335,"Mike Ruddock, the Wales coach, has justified his decision to retain all international stars for this weekend's regional Celtic League fixtures."
1336,Forster informed BBC Wales Sport that he is confident the guys would want to return for some game time.
1337,"Phil Vickery, the England tight-head prop, will miss the remainder of the 2005 RBS Six Nations due to a broken bone in his right forearm."
1338,"Matt Stevens, the tight-head prop from Bath, is the sole remaining player in England's training squad and may be included in the match against Ireland."
1339,Kostas Kenteris and Katerina Thanou are set to challenge the temporary two-year bans issued to them by the IAAF at an independent tribunal this weekend.
1340,"Testers were unable to locate them at the Olympic village, and the pair were subsequently hospitalized after claiming to have been in a motorcycle accident."
1341,Mansfield suffered their ninth consecutive winless game after Andy Scott scored a goal in the second half.
1342,"Pilkington, Talbot, Buxton, Dimech, Artell, Corden, Murray, Curtis, Neil, Warne, Barker."
1343,"Scott is 51 years old and has 3,803 followers."
1344,S. Mathieson from Cheshire.
1345,"Steve McClaren, the manager of Middlesbrough, is hopeful that Stewart Downing did not sustain a serious hamstring injury during the 2-1 Uefa Cup victory over Graz AK."
1346,"Being fair to Graz, they had a game plan of pushing the ball forward, especially in the first half, which we found challenging to handle."
1347,Steve Finnan is confident that the Republic of Ireland can secure direct qualification for the World Cup finals.
1348,"Reflecting on the match, we had a chance to secure three points, but we are content with earning a point, which will boost our confidence for Wednesday's game."
1349,"David Beckham, the midfielder for Real Madrid, has no intention of becoming a manager after he finishes his playing career."
1350,Real fell 13 points behind Barcelona after suffering a 1-0 defeat to Sevilla on Wednesday.
1351,The new Wolves manager has been revealed to be Glenn Hoddle.
1352,"The massive potential that Wolves possess, along with their desire and ambition to return to the Premiership, aligns with my own aspirations."
1353,"Chelsea's victory over Fulham, which solidified their position at the top of the Premiership, demonstrates that they are well-equipped to compete on all fronts this season."
1354,"He faced heavy criticism for his defensive tactics in the early games, yet he was still winning matches."
1355,"On a more serious note, the game simply highlighted the importance of Sol Campbell to Arsenal."
1356,"Sir Alex Ferguson, the boss, was disappointed that Manchester United couldn't narrow the gap on Chelsea, Everton, and Arsenal following their 1-1 draw with Fulham."
1357,"Philippe Saint-Andre, the director of rugby for Sale Sharks, has reignited the debate between clubs and country in rugby."
1358,"He now worries that it could jeopardize the club's chances of winning a cup, as eight players, including captain Jason Robinson and fly-half Charlie Hodgson, are away representing their countries."
1359,It is clear that they are interested in him for international rugby while we are interested in him for club rugby in a crucial game for us.
1360,"If England wants to win the Rugby World Cup Sevens in Hong Kong next month, they will need to navigate a challenging draw."
1361,"Nevertheless, they defeated Samoa in the recent Los Angeles Sevens before being defeated by Argentina in the semi-finals."
1362,"In addition to New Zealand, Scotland, Tonga, Ireland, Korea, and the USA, there are also England, Samoa, France, Italy, Georgia, and Chinese Taipei."
1363,"Fiji, Australia, Canada, Portugal, Japan, and Hong Kong are among the countries listed."
1364,"Jason Robinson, the England rugby union captain, is aiming for dual code success against Australia on Saturday."
1365,Robinson stated that winning a trophy would be a significant achievement for rugby league in the country.
1366,"Guillermo Coria, the top seed, was unexpectedly defeated by Olivier Rochus of Belgium in the Heineken Open in Auckland on Thursday."
1367,"Chris Tomlinson, the long jumper, has adjusted his schedule to ensure he is fully prepared for the European Indoor Championships."
1368,"Lewis-Francis, who finished second to his British team-mate Jason Gardener at the Europeans three years ago, will carry on with his training at home."
1369,"The Six Nations might be a coveted prize on its own, but each player from the four Home Unions will also be keeping an eye out for a potential opportunity to travel to New Zealand with the Lions this summer."
1370,Jones raised his hand and appears to be a more promising choice than Charlie Hodgson following Saturday's match.
1371,Serena Williams made an impressive comeback to defeat Lindsay Davenport and secure her second Australian Open title.
1372,The 23-year-old former world number one faced early trouble due to an injury affecting her service action.
1373,The International Rugby Board might need to intervene to prevent coaches and players from publicly criticizing referees when things go wrong.
1374,"Simon McDowell, the touch judge heavily criticized by Scotland coach Matt Williams after their defeat against France, had a similar experience."
1375,Lewsey asserts that he touched it down and was in complete control.
1376,"Clive Woodward, the coach of the British and Irish Lions, stated that it is unlikely for him to choose players who are not participating in the upcoming RBS Six Nations Championship."
1377,"It is absolutely crucial, given the Lions' history, that we select players representing all four countries."
1378,Reports indicate that Australian tennis coach Tony Roche declined an offer from Roger Federer to become his new full-time coach.
1379,"In addition, he trained Ivan Lendl and Pat Rafter to Grand Slam victories and collaborated with Australia's Lleyton Hewitt."
1380,"Jose Mourinho, the Chelsea boss, has affirmed that Sir Alex Ferguson and Arsene Wenger would trade places with him."
1381,Mourinho emphasized the importance of maintaining a balanced view of his team's performance.
1382,"Sydney is set to host a charity match between the northern and southern hemispheres in June or July, as announced by the Australian Rugby Union (ARU) on Wednesday."
1383,"Nearly 80,000 spectators filled the Melbourne Cricket Ground on 10 January for a charity match that raised £5.9m for victims of the Asian tsunami."
1384,"Mike Ruddock, the coach of Wales, has made two changes to the team that defeated Italy 38-8 for their upcoming match against France on Saturday."
1385,"Morgan, who was experienced and in-form, was already pushing hard for a start at Stade de France."
1386,"Substitutes: R McBryde (Llanelli), J Yapp (Cardiff), J Thomas (Neath-Swansea), R Sowden-Taylor (Cardiff), G Cooper (Newport-Gwent), C Sweeney (Newport-Gwent), R Williams (Cardiff)."
1387,Brian O'Driscoll from Ireland is set to captain the Northern Hemisphere team in the IRB Rugby Aid match at Twickenham.
1388,"Leicester's England center Ollie Smith has been included in the squad, providing him with an opportunity to impress Lions coach Sir Clive Woodward, who is leading the North team."
1389,"C Latham from Australia, B Lima from Samoa, J Fourie from South Africa, T Umaga from New Zealand, and S Bobo from Fiji are part of the team."
1390,"On Wednesday, it will be determined whether Greek sprinters Kostas Kenteris and Katerina Thanou will face a ban for missing drugs tests this summer."
1391,"Nevertheless, the IAAF will make a decision regarding the sprinters' future on the track after carefully reviewing all the evidence."
1392,Lleyton Hewitt secured an ideal preparation for the upcoming Australian Open by defeating Ivo Minar in the Sydney International final.
1393,Hewitt has clinched the Sydney title four times in the last six years.
1394,William Gallas of Chelsea is confident that they will compete with Arsenal for the Premiership in the upcoming months.
1395,"""But in football, you never know what will happen - two seasons ago, Manchester United accumulated many points towards the end of the season to win the title."""
1396,"David Weir, the Everton defender, has downplayed discussions about European football, despite his team being in second place in the Premiership after defeating Liverpool."
1397,Jade Johnson secured the AAAs long jump title at the Norwich Union European Indoor trials by narrowly beating her rival Kelly Sotherton with her final attempt.
1398,He caused a surprise in the men's 200m by winning his first major title in 21.01 seconds.
1399,"Scott, 22, was competing for the top spot against Olympian Andy Turner."
1400,"The Welsh runner set the fastest time in the 800m heats, posing a challenge to the in-form competitors."
1401,"Fraser was the fastest British woman over the distance this season, clocking 23.68 seconds in the final of the women's 200m - a time that falls short of the European standard."
1402,"The men's shot put title was won by a throw of 17.64m, which fell short of the qualifying mark."
1403,"Finishing in fourth place, the 27-year-old could only clear 2.16m, but his disappointment will be eased as he had already met the qualifying mark at a meeting in Slovenia on Tuesday."
1404,"Kevin Keegan, the manager of Manchester City, has commended striker Robbie Fowler for his impressive return to form."
1405,"Fowler surpassed Les Ferdinand on Tuesday evening to become the third highest scorer in the Premiership with 151 goals, trailing only Alan Shearer (250) and Andy Cole (173)."
1406,"Alex Ferguson, the manager of Manchester United, commended his players' courageous performance in the 1-0 victory against Aston Villa."
1407,"Arsene Wenger, the Arsenal manager, would be open to signing Adrian Mutu after the striker completes his drugs ban."
1408,"Mutu criticized the club's decision, stating, ""Chelsea have ruined me."""
1409,The trial date for the steroid distribution case involving the Bay Area Laboratory Cooperative (Balco) has been delayed.
1410,Barry Bonds and several other baseball stars represented by Anderson have been summoned to testify before a congressional inquiry into steroid use in the major leagues.
1411,Ryan Giggs will lead Wales as he earns his 50th cap in Wednesday's friendly against Hungary in Cardiff.
1412,"Giggs was initially hesitant about committing the remaining years of his career to club football, but he is now focused on making the Toshack era even more successful than the time Hughes spent at the helm."
1413,"Maurice Lindsay, the chairman of Wigan, stated that he anticipates no immediate resolution to the ongoing situation regarding captain Andy Farrell's potential move to rugby union."
1414,"Lindsay mentioned that money was not a motivating factor for Wigan, despite the potential financial benefits of the move for both Farrell and the club."
1415,A battling draw was secured by Middlesbrough against Charlton at the Riverside thanks to a late header by teenager Danny Graham.
1416,Charlton's initial pressure paid off when Bartlett received a long ball from Talal El Karkouri in the box and laid it off to Holland who buried his right-footed strike.
1417,"Even though the first half was lacklustre, I believe we did enough to win the game."
1418,"Nash, Reiziger (Graham 82), Riggott, Southgate, Queudrue, Parlour (Job 86), Doriva, Nemeth (Parnaby 87), Zenden, Downing, Hasselbaink."
1419,"Riggott scored in the 74th minute, followed by Graham in the 86th minute."
1420,"Fish, Jeffers, and Andersen were not substituted."
1421,"Bartlett defeated Holland 80-14, with a total attendance of 29,603."
1422,M Riley resides in West Yorkshire.
1423,Jamie Costin believed he would be paralyzed.
1424,"During the initial nine hours, I had no pain relief, which was absurd given the 35-degree heat."
1425,"Jamie will be traveling to Poland again on Sunday for daily cryotherapy, twice-daily physio sessions, and pool-work as part of his recovery process towards returning to racing in 2006."
1426,Newry City is set to explore legal options on Friday to challenge their expulsion from the Nationwide Irish Cup.
1427,We require clarification. Sending us the same fax message that the press people received is not helpful.
1428,"Hicham El Guerrouj, a two-time Olympic champion, is expected to participate in the World Cross Country Championships in France, marking a rare appearance for him in the event after a 15-year hiatus from cross country racing."
1429,"El Guerrouj may face Bekele in March, as the Ethiopian holds the title of defending world cross country champion for both the long and short courses."
1430,"Rafael Benitez, the manager of Liverpool, described their qualification for the next stage of the Champions League as ""one of the proudest nights of my career."""
1431,I have repeatedly told him that he possesses the freedom due to his talent and importance to us.
1432,"After just eight months in charge at the Primera Liga club for the second time in his career, Claudio Ranieri has been dismissed as Valencia coach."
1433,"The Spanish champions had a good start, but their winless streak extended to six matches after a loss to Racing Santander last weekend."
1434,Wales achieved their first victory on the road in the RBS Six Nations in almost four years with a six-try win in Rome.
1435,"Despite Gavin Henson's impressive performance against England, Stephen Jones continued to handle the kicking duties and successfully converted a difficult kick from a wide angle."
1436,"In the 21st minute, Wales took back control by scoring a second try, with Henson launching a high kick to the left corner where Shanklin outjumped Nitoglia to score his 15th Test try."
1437,"Jones' successful conversions gave Wales a comfortable 33-8 lead, allowing them to bring on five more replacements for the final quarter."
1438,"G Intoppa, S Perugini, CA del Fava, D dal Maso, P Griffen, M Barbini, KP Robertson. G Thomas (capt); H Luscombe, T Shanklin, G Henson, S Williams; S Jones, D Peel; G Jenkins, M Davies, A Jones; B Cockbain, R Sidoli; J Thomas, M Williams, M Owen. 

Alternative: The team consists of G Intoppa, S Perugini, CA del Fava, D dal Maso, P Griffen, M Barbini,"
1439,"R McBryde, J Yapp, I Gough, R Sowden-Taylor, G Cooper, C Sweeney, K Morgan, and Andrew Cole (Australia) are listed."
1440,"Last week, I resumed my official duties as an ambassador for London's 2012 Olympic bid while also keeping up with my marathon training."
1441,"Kelly Holmes, former hurdler Alan Pascoe, and former sprinter Frankie Fredericks - now an IOC member - all questioned why anyone would want to run such a distance."
1442,"While in London, I completed all my runs on the treadmill, which is different from exercising outdoors."
1443,"At the age of 48, Martina Navratilova has justified her choice to continue her tennis career."
1444,"Jimmy Connors, a former world number one, is considering establishing a lasting partnership with the Lawn Tennis Association to help discover the next Tim Henman."
1445,"More than 30 leading senior and junior players, including Greg Rusedski, Arvind Parmar, and Anne Keothavong, were hosted at the camp."
1446,Sonia O'Sullivan is aiming to reclaim her title at the Bupa Great Ireland Run on 9 April in Dublin.
1447,Venus Williams experienced a first-round loss at the Dubai Championships for the first time in four years.
1448,"Remaining confident, she said, ""She (Kuznetsova) is a great player."""
1449,"Reportedly, Nicolas Anelka is looking to depart from Manchester City in order to find Champions League football."
1450,He mentioned that he is currently negotiating an extension for his contract.
1451,"Newcastle manager Graeme Souness is preparing to make a summer bid for England and Real Madrid striker Michael Owen, whom he views as the perfect successor to Alan Shearer, who is set to retire."
1452,Souness expressed confidence that the player would remain with the team for the next season without revealing too much.
1453,"Liverpool started their comeback trail with Titus Bramble's own goal, leading to a well-deserved victory over injury-hit Newcastle at Anfield."
1454,"Kluivert appeared to be in an offside position when Kieron Dyer released Bowyer, but the Dutchman was well-placed to score from six yards."
1455,"Hamann, Harrison, and Bramble were not used, with Mellor scoring in the 38th minute and Baros in the 61st."
1456,"Andrew O'Brien, Elliott, Bramble, Bernard, Bowyer, Dyer (Ambrose 80), Jenas, Milner (N'Zogbia 72), Kluivert (Robert 58), Ameobi were the players listed."
1457,Bowyer is listed as number 77 in the document.
1458,"Kluivert is 32 years old and has scored 43,856 points."
1459,The poll was conducted by G in Hertfordshire.
1460,"Justine Henin-Hardenne, the Olympic champion, is set to make her comeback at the Sydney International tournament in January."
1461,"World number three Lleyton Hewitt is set to defend his title in the men's event, alongside runner-up Carlos Moya."
1462,Manchester United closed the gap on Chelsea in the Premiership to nine points following a messy win against Manchester City.
1463,"Wes Brown also encountered difficulty with Wright-Phillips, who embarrassed him near the touchline."
1464,"Sir Alex Ferguson, the Manchester United boss, stated that it was not their best performance in the last three months, but he believes they are deserved winners."
1465,Liverpool and Millwall are facing charges from the Football Association following crowd disturbances at their Carling Cup match on 26 October.
1466,"Wasps, the European champions, are preparing to extend a new contract offer to Matt Dawson."
1467,He stated that rugby remains his top focus and he still has a strong passion to perform at his best on the field.
1468,"Sir Alex Ferguson, the boss of Manchester United, was disappointed that his team's 1-1 draw with Fulham prevented them from closing the gap on Chelsea, Everton, and Arsenal."
1469,It appears that Jonny Wilkinson will probably miss the entire 2005 RBS Six Nations tournament.
1470,"Andrew expressed his hope that Jonny would be ready in a fortnight, but the situation is uncertain."
1471,The top official of Australian tennis has defended the Australian Open courts at Melbourne Park following criticism of the playing surface by Lleyton Hewitt.
1472,"Mark Philippoussis pulled out of the Sydney International tennis tournament on Sunday due to a groin injury sustained during the Hopman Cup, as anticipated."
1473,"Before undergoing surgery for a foot injury that may cause him to miss the entire Six Nations, England center Mike Tindall will be seeking a second opinion."
1474,"Andy Robinson, the England coach, is already missing centre Will Greenwood and flanker Richard Hill, with fly-half Jonny Wilkinson set to miss at least the first two games."
1475,"Gael Monfils, a French prodigy, demonstrated his immense potential by defeating French Open champion Gaston Gaudio 6-4 7-6 (7-4) in the first round of the Qatar Open."
1476,"Yelena Isinbayeva, the Olympic pole vault champion, has confirmed her participation in the 2005 Norwich Union Grand Prix in Birmingham on 18 February."
1477,"Matt Dawson, the scrum-half for Wasps, has been brought back into England's training squad for the RBS Six Nations and reinstated in the Elite Player Squad."
1478,"Tait is among six or seven contenders for the two centre berths, with Mike Tindall ruled out of the opening two matches and Will Greenwood sidelined for the entire Six Nations."
1479,"Balshaw, Cohen, Cueto, Lewsey, Robinson, Simpson-Daniel, Voyce, Abbott, Noon, Paul, Smith, Tait, Tindall, Barkley, Hodgson, King, Wilkinson, Dawson, Ellis, Gomarsall. Chuter, Thompson, Titterrell, Rowntree, Sheridan, Stevens, Vickery, White, Borthwick, Brown, L Deacon, Grewcock, Kay, Shaw, Beattie, Corry, Forrester, Hazell, Jones, Moody, Vyvyan, J Worsley"
1480,"Abbott, Balshaw, Borthwick, A Brown, Chuter, Cohen, Corry, Cueto, Dawson, Ellis, Flatman, Gomarsall, Greening, Greenwood, Grewcock, Hazell, Hill, Hodgson, Kay, King, Lewsey, Moody, Noon, Paul, Robinson, Rowntree, Shaw, Simpson-Daniel, Thompson, Tindall, Titterrell, Vickery, Vyvyan, White, Wilkinson, J Worsley, M Worsley. Barkley, Beattie, Christophers, L"
1481,"Dowson, Haughton, Monye, Roques, and P Sanderson are listed."
1482,Barcelona suffered a setback in their quest for the Spanish title on Sunday with a 2-0 home defeat to Atletico Madrid.
1483,The third leading lady to withdraw from the Australian Open due to injury is Jennifer Capriati.
1484,Greek sprinters Kostas Kenteris and Katerina Thanou have faced an independent tribunal to determine the validity of their bans.
1485,"Last August, they pulled out of the Athens Games after skipping drug tests on the eve of the opening ceremony."
1486,"Andy Robinson, the England coach, expressed his anger after his team was denied two tries in Sunday's 19-13 Six Nations loss to Ireland in Dublin, stating that he was ""livid."""
1487,"Kaplan then chose not to seek the fourth official's consultation when Josh Lewsey carried the ball over the Irish line amidst a pile of bodies, potentially scoring the game-winning try."
1488,"In his first competitive appearance since winning 100m relay gold at the Athens Olympics, Britain's Jason Gardener achieved a double 60m success in Glasgow."
1489,The double Olympic champion celebrated her first competition in her home country since winning gold in the 1500m and 800m events in Athens with a win.
1490,"Maduaka won the women's 60m race in 7.23secs, beating Russia's Olga Fedorova and Sweden's Jenny Kallur."
1491,"Russia took the lead by causing a significant upset in the high jump, defeating Olympic champion Stefan Holm and ending his 22-event winning streak."
1492,"Claiming victory in the men's pole vault event with a clearance of 5.65m, the British athlete Nick Buckfield finished third, 51cm below his personal best."
1493,"Chris Lambert finished in fourth place after falling behind in the final stages of the men's 200m race, well ahead of Catherine Murphy from Britain."
1494,"In the men's 400m, claimed first place, while Brett Rund finished fourth for Britain."
1495,"In the final 200 meters, he surged ahead to fend off Britain's James Thie and France's Alexis Abraham."
1496,"Jaap Stam, the AC Milan defender, believes that Manchester United regrets selling him in 2001."
1497,"He mentioned that he had been settled at Manchester United and had just ordered a new kitchen, but they wanted to sell him."
1498,"Carlo Cudicini, the Chelsea goalkeeper, will be absent from Sunday's Carling Cup final as the club has decided to withdraw their appeal against his red card from the match against Newcastle."
1499,"Cudicini achieved a club record of 24 clean sheets last season for Chelsea, but Petr Cech has become the preferred choice for Mourinho since joining Stamford Bridge in the summer of 2004."
1500,"Andy Roddick has terminated an 18-month partnership with coach Brad Gilbert, during which he won the US Open title and became the world number one."
1501,"Roddick was surpassed by Roger Federer this year, who became the first man since 1988 to win three Majors in a season."
1502,The Welsh Rugby Union is proposing to divide the Northern Hemisphere season into four distinct blocks.
1503,"Lleyton Hewitt's hopes of winning an Australian Open title remained alive as he defeated Andy Roddick in four sets during Friday's second semi-final, setting up a final showdown with Marat Safin on Sunday."
1504,"The key moment occurred in the second set after 12 tense games, when Hewitt elevated his game during the tie-break to reverse an early mini-break."
1505,Wales are optimistic that openside flanker Martyn Williams may be fit for Saturday's RBS 6 Nations championship opener against England in Cardiff.
1506,"If Williams, the 29-year-old Cardiff Blues flanker, is deemed fit, Ruddock might consider including him in the back row due to his significant experience."
1507,Josh Lewsey of England has alleged that he was unfairly denied a late try during his team's Six Nations defeat to Ireland.
1508,"Cueto expressed confusion about why Kaplan disallowed his try, stating, ""I don't believe I could have been offside as I was clearly behind the ball."""
1509,Marat Safin feared he was reliving another nightmare from the Australian Open finals when he lost the first set to Lleyton Hewitt.
1510,"Safin, trailing 4-1 in the third set, showcased some of his finest tennis to win seven consecutive games and seize control of the match."
1511,"Kelly Holmes, the double Olympic champion, showcased her top form by comfortably winning the 1,000m at the Norwich Union Birmingham Indoor Grand Prix."
1512,"The men's 60m race, which almost ended in farce, saw the eventual winner."
1513,"The Olympic champion broke her own record by setting a new world mark of 4.88m to defeat Russian rival Svetlana Feofanova, marking Isinbayeva's 11th world record since July 2003."
1514,Jamaican extended her undefeated streak to 25 races by effortlessly winning the 200m event.
1515,He defeated his fellow Briton Tim Abeyie to win the men's 200m with a personal best time of 20.88.
1516,"She was unable to break compatriot Berhane Adere's world 3,000m record, but she still triumphed in the event with a convincing performance."
1517,"In Athens, Lagat took home the silver medal, finishing behind El Guerrouj, and fell short of the Moroccan's world best by nearly four seconds, recording a time of 3:35.27 in Birmingham."
1518,"With two laps remaining, the Jamaican runner ominously appeared on Bekele's shoulder before surging past him at the bell to secure victory in 8:14.28."
1519,"In the long jump competition, she demonstrated her class by surpassing Jade Johnson with her final jump, securing the top spot."
1520,"Peter Kenyon, the chief executive of Chelsea, has downplayed rumors of Arjen Robben's return for the Champions League match against Barcelona."
1521,"James McIlroy won the AAA's Indoor 800m title in Sheffield on Sunday with a time of one minute, 47.97 seconds by driving there."
1522,The fastest European this season is now The Irishman.
1523,"Haile Gebrselassie, the two-time Olympic 10,000m champion, is set to compete in the London Marathon for the next three years."
1524,"Michelle Collins, a sprinter, has appealed her eight-year doping ban to the North American Court of Arbitration for Sport (CAS)."
1525,"After winning the Australian Open, Serena Williams has climbed five spots to reach second place in the world rankings."
1526,"In the final of the SAP Open in San Jose on Sunday, Andy Roddick will face Cyril Saulnier."
1527,Roddick clinched the last four points of the first-set tie-break before getting broken at the beginning of the second set.
1528,"The renowned Dutch coach Rinus Michels, known for pioneering ""total football"", passed away at the age of 77."
1529,"Sir Alex Ferguson, the manager of Manchester United, expressed no regrets despite his second-string team's 3-0 loss to Fenerbahce in the Champions League."
1530,Jason Gardener from Britain overcame a stomach issue to win the 60m race at the Leipzig International meeting on Sunday.
1531,"He said that, since he is still feeling unwell, he knows he has more potential and anticipates improving in the coming weeks."
